type,text,chars,limit
business_name,Sir Ed Hillary Explorer,23,25
headline,Fully Guided NZ Rail Journeys,29,30
headline,The South Island by Rail,24,30
headline,"Rail & Coach, Fully Guided",26,30
headline,NZ's Leading Tour Operator,26,30
headline,Compare All Seven Journeys,26,30
headline,Now Booking to April 2028,25,30
headline,TranzAlpine & Milford Sound,27,30
headline,11 to 15 Day Guided Tours,25,30
headline,Award-Winning NZ Tours,22,30
headline,Winter & Summer Departures,26,30
headline,Christchurch Departures,23,30
headline,Free Brochure Collection,24,30
long_headline,"Seven fully guided South Island journeys by rail and coach, now booking to April 2028",85,90
long_headline,New Zealand's Leading Tour Operator 2022-2025 at the World Travel Awards,72,90
long_headline,"The TranzAlpine, Milford Sound, Queenstown and Aoraki Mt Cook, fully guided",75,90
long_headline,Rail and coach touring for travellers who like their adventure comfortable,74,90
long_headline,"Free brochure collection: itineraries, inclusions, pricing and departure dates",78,90
description_short,Fully guided South Island journeys by rail & coach.,51,60
description,"Seven journeys, 11 to 15 days, departing Christchurch. Compare them all on one page.",84,90
description,"4-star-plus hotels, rail, coach and most meals included. A team that answers the phone.",87,90
description,World Travel Awards winner 2022-2025. Rated 'Excellent' on Trustpilot.,70,90
description,"Spring/summer and winter departures, now booking through to April 2028.",71,90
sitelink,14-Day Spring/Summer,20,25
sitelink_desc,Our signature journey,21,35
sitelink_desc,"Milford, Queenstown & Aoraki",28,35
sitelink,Winter Editions,15,25
sitelink_desc,The Alps under deep snow,24,35
sitelink_desc,"12 days, Jul & Aug departures",29,35
sitelink,The Pinnacle Tour,17,25
sitelink_desc,Hosted by Peter Hillary,23,35
sitelink_desc,"One departure, January 2027",27,35
sitelink,Brochure Collection,19,25
sitelink_desc,"Every journey, free PDFs",24,35
sitelink_desc,"Itineraries, pricing and dates",30,35
callout,Fully Guided,12,25
callout,100% NZ Owned,13,25
callout,4-Star-Plus Hotels,18,25
callout,Most Meals Included,19,25
callout,Award-Winning Service,21,25
callout,Phone Us 7 Days,15,25
snippet,14-Day Spring/Summer,20,25
snippet,11-Day Spring/Summer,20,25
snippet,12-Day Winter Edition,21,25
snippet,The Pinnacle Tour,17,25
search_theme,new zealand rail tours,22,
search_theme,south island train tours,24,
search_theme,tranzalpine tour package,24,
search_theme,escorted tours new zealand,26,
search_theme,guided tours south island,25,
search_theme,new zealand coach tours,23,
search_theme,milford sound tour from christchurch,36,
search_theme,queenstown rail tour,20,
search_theme,scenic train trips new zealand,30,
search_theme,new zealand winter tours,24,
search_theme,senior tours new zealand,24,
search_theme,fully escorted nz holidays,26,
search_theme,south island itinerary 14 days,30,
search_theme,luxury train tours new zealand,30,
search_theme,guided rail holidays,20,
search_theme,new zealand tours for over 50s,30,
search_theme,aoraki mt cook tours,20,
search_theme,tekapo stargazing tour,22,
search_theme,coastal pacific train tour,26,
search_theme,new zealand tour packages from australia,40,
